,gameDuration
0,1089.5
1,1554.1
2,1718.9
3,1628.2
4,1472.8
5,1840.8
6,1753.6
7,1797.8
8,1505.3
9,2020.8
10,1633.7
11,1491.2
12,1898.7
13,1739.7
14,1569.9
15,1346.8
16,1201.7
17,1574.2
18,2306.2
19,2493.9
20,1446.0
21,1565.4
22,1776.3
23,1699.8
24,1765.0
25,1293.2
26,1985.1
27,1606.6
28,2419.5
29,2079.2
30,1535.5
31,1699.6
32,1736.5
33,1536.0
34,1644.7
35,1849.8
36,1901.0
37,1148.1
38,1894.6
39,2365.6
40,1839.2
41,1458.5
42,1144.5
43,2036.3
44,1496.4
45,1907.8
46,1677.1
47,2017.1
48,1664.4
49,1240.1
50,1480.0
51,2159.3
52,1853.3
53,975.0
54,1461.0
55,1863.2
56,941.7
57,1980.9
58,1626.7
59,1804.6
60,1653.5
61,1472.6
62,1701.1
63,1695.8
64,1960.3
65,1314.6
66,1565.2
67,1676.0
68,972.3
69,198.1
70,1458.5
71,1701.0
72,2225.7
73,1028.2
74,1477.0
75,1855.4
76,944.1
77,1621.5
78,1432.3
79,1687.0
80,1130.3
81,1883.0
82,1587.0
83,2392.8
84,1214.9
85,1489.0
86,1408.1
87,1730.0
88,1329.0
89,1306.5
90,2272.9
91,1360.3
92,942.9
93,1644.9
94,1256.6
95,796.8
96,1232.2
97,1374.1
98,1793.9
99,1977.9
100,2158.2
101,1019.3
102,1938.8
103,1504.2
104,2263.1
105,1403.2
106,1261.5
107,1305.9
108,784.5
109,1000.8
110,686.4
111,913.1
112,1040.7
113,1026.2
114,1119.0
115,954.9
116,2052.5
117,977.3
118,814.3
119,851.1
120,1130.7
121,932.8
122,830.4
123,695.9
124,1153.9
125,890.0
126,1226.6
127,1184.2
128,2083.2
129,1387.1
130,1259.0
131,1839.4
132,2295.6
133,2357.7
134,2176.9
135,2011.1
136,1241.8
137,1513.7
138,1499.0
139,1869.3
140,1508.8
141,1729.1
142,1931.6
143,1172.7
144,1883.3
145,1714.0
146,932.1
147,1516.8
148,950.2
149,1706.7
150,1951.4
151,1067.2
152,1301.5
153,1182.4
154,1270.2
155,788.0
156,2084.6
157,1657.1
158,1274.7
159,1648.1
160,2088.6
161,1726.6
162,1233.5
163,1274.1
