,gameDuration
0,1075.2482095114256
1,1537.1380017167915
2,1730.1985586521228
3,1613.21922026855
4,1443.2568736603569
5,1794.745554907791
6,1722.6231791054001
7,1819.6892408023036
8,1458.645758633463
9,2005.8292643599807
10,1670.1759541100173
11,1473.856049196823
12,1883.5516251539461
13,1783.1666840092646
14,1607.7720907712996
15,1303.4025679618287
16,1167.4624564102317
17,1597.4284978735157
18,2296.9828008482546
19,2411.0004486035405
20,1499.2164553807427
21,1539.147188826433
22,1755.3654875588174
23,1726.4480760474585
24,1743.6526708529814
25,1295.484882463093
26,1950.628708881015
27,1618.3389266812662
28,2411.0153314710196
29,2060.4791537422298
30,1523.8922496606363
31,1718.455976211329
32,1731.3147737130346
33,1544.0734179619244
34,1629.1587713383728
35,1912.1118478458131
36,1914.3442779676373
37,1123.0222141184572
38,1870.4993503750156
39,2371.977570074059
40,1816.906144583763
41,1453.1539805337761
42,1137.2055868257785
43,2019.7745111876407
44,1457.3063005603685
45,1908.9715628077809
46,1712.9493152441632
47,2044.1079995155212
48,1698.4087537173502
49,1197.8532718019944
50,1478.5292695851745
51,2121.3649645981072
52,1932.486493424326
53,1035.7193134876636
54,1444.179611444044
55,1904.3727567568237
56,922.1183860217845
57,1942.9937978643773
58,1620.154636513683
59,1795.698058426436
60,1659.4007580553473
61,1444.8046918781547
62,1688.243755229312
63,1650.5156861704882
64,1926.6375265051474
65,1356.2665132466186
66,1574.4344676187295
67,1657.9571199099012
68,990.520044954469
69,287.60221392951553
70,1445.1618806976464
71,1704.5702608535842
72,2219.591889958359
73,1042.5803153954025
74,1520.6477845502523
75,1916.2939336073634
76,956.1108553434232
77,1603.8281308894109
78,1440.086822887367
79,1623.4586330939824
80,1107.9309864949275
81,1875.0683906910153
82,1564.9094324322807
83,2369.4474826026585
84,1249.3777590136901
85,1486.5511351562618
86,1403.6089146967643
87,1772.525433761904
88,1314.3414755587658
89,1341.949194731988
90,2305.2874409014394
91,1371.9530555693013
92,928.9793879295233
93,1637.18063690946
94,1264.198620967023
95,802.4991443143564
96,1200.2494134660853
97,1377.4001850665516
98,1789.3877226154138
99,1979.0996343680092
100,2145.9068130706914
101,1041.5533975393635
102,1939.5707383442473
103,1547.9243025155126
104,2286.073658986275
105,1417.0332611626654
106,1219.7459698633475
107,1318.807561352984
108,793.7093394433915
109,1001.1950627521345
110,657.6920581741969
111,942.4057351315188
112,1044.1525575138032
113,1048.1582841897523
114,1132.1284149351586
115,966.1807806834893
116,2036.7409801135025
117,1032.8246081405912
118,837.9770548554559
119,862.7893584223228
120,1148.376515813242
121,940.3039228381758
122,829.3309633760223
123,703.6862622557929
124,1151.8158450205306
125,901.7752468374798
126,1233.1791825969203
127,1204.3475042223295
128,2076.5972992217985
129,1387.8926066391239
130,1269.1719727605287
131,1822.814642972857
132,2269.7918019644394
133,2379.5975982232176
134,2189.8708036031435
135,2004.9809409136876
136,1291.0562465865637
137,1515.6997773619523
138,1512.3877930995038
139,1894.1333439313914
140,1522.3146657078807
141,1738.1906584882522
142,1973.7864506780684
143,1168.6382029410588
144,1881.9591583337117
145,1677.989459536401
146,963.1802173958656
147,1525.7674909629684
148,978.9709397908999
149,1692.5002553282563
150,1876.1548400169695
151,1063.8925816250812
152,1275.5864886439028
153,1180.3659025143738
154,1254.512348293885
155,788.5112090505396
156,2072.3110333878967
157,1653.8494484857451
158,1271.1960427376491
159,1647.7623556869053
160,2113.4770448343297
161,1695.3428830167122
162,1237.054744741222
163,1251.084520450759
164,1557.0661612709396
165,279.17851093650006
166,1686.2940995895858
167,1208.813035002685
168,1252.084854280075
169,1670.5777915319456
170,1112.753035558067
171,1506.3602317705793
172,1702.6057223463793
173,1747.5817478673914
174,1812.8711648969042
175,2089.477881927636
176,1778.8655353078839
177,2172.502497255354
178,1351.3767436754308
179,1782.2439462255772
180,1662.079674201536
181,1667.467272228871
182,1637.7078261087079
183,2000.2928376578575
184,1362.7076918406392
185,956.7790186324617
186,980.2657492615579
187,1943.782589840755
188,1044.2769622879887
189,1521.9128282859524
190,1542.3767710693382
191,938.8913776704214
192,2006.737119276189
193,1721.4176668396153
194,1881.750798189008
195,1364.705099107113
196,1710.0322732183133
197,1479.0352870794545
198,1030.807967219651
199,1289.8591585560969
200,1689.2557902178723
201,1892.6004085810723
202,1767.7182675662432
203,1751.123870327352
204,2041.310020429502
205,1646.1698888666708
206,1352.0397788826322
207,1878.253324331484
208,1586.3407616017903
209,1520.2905957307603
210,1280.722449634974
211,1505.6309712641166
212,1656.9153191863834
213,983.5102143719419
214,1444.1200799741287
215,1456.324031306766
216,1884.7422545522522
217,2075.049481004001
218,1632.4925336536298
219,1519.2041464048061
220,1650.0543172786445
221,1666.8868403971967
222,1452.1865941476524
223,2135.235797088373
224,2258.5552370179257
225,1343.9583818416295
226,1969.4853019766877
227,931.2713495212626
228,775.700735765094
229,1713.232089726261
230,1942.6366090448855
231,1636.6299708127435
232,952.9408045704332
233,1731.5826653276536
234,1021.0894547559776
235,1551.455320231422
236,1478.0083692234157
237,1246.5797799276709
238,2565.320901491488
239,1988.6395524219367
240,1382.3710628044796
241,929.009153664481
242,1403.5345003593702
243,1766.5574039028947
244,1306.780978879522
245,1931.2363325561048
246,2020.087051404696
247,1373.7687654017182
248,1262.5193309974934
249,2017.601612535732
250,1035.8086106925366
251,1687.2168373732732
252,1703.2010370455323
253,1393.949933703006
254,1507.6848069761947
255,1971.9112093757362
256,986.2784277230036
257,1343.7649045644048
258,895.2548102225036
259,1176.4963569698791
260,1829.3928703984982
261,1774.5792694739819
262,1770.1888235677282
263,1385.1095104205835
264,1337.9605862476626
265,1739.8724225133597
266,1013.7373182214376
267,1542.98696863597
268,1733.4876723649431
269,1279.753691537974
270,299.34479637030927
271,1578.065887283563
272,1395.0066172940028
273,1481.4463116110244
274,1412.955355473467
275,1018.2468270675218
276,1475.4485160170575
277,1327.066327253162
278,2217.1659825593106
279,1897.8540608010978
